skit,1
item,add,takuan
bg,room,quake,heavy
show,clara,disgusted
clara,"Rin! Hey, Rin!"

m,Somebody grabs my shoulder and shakes my whole body forcefully.

m,"Clara is in front of me, her face fervent as she shouts."

play,day,ration
bg,room,quake,heavy
clara,"Come on, Rin! Say something already!"

clara,Yesterday was too much... One of us is gone from the drawer...

bg,room,quake,heavy
show,clara,angry
clara,How can you be okay with this?! I couldn't sleep a wink!

rin,...

m,I recall the events of yesterday.

m,"I hadn't told Clara about the reality of this drawer, so she saw a little person disappear without knowing anything in advance."

rin,...Sorry. It must have been really hard on you.

rin,"You must have been terrified seeing that. For now, you should rest--"

flash
clara,Stop that! That's not what I want to hear right now!

clara,"Don't you have anything else to say, Rin? About what you did before Saeko came back yesterday evening."

clara,"I saw you hand out that huge cherry, and I watched it get eaten up."

show,clara,disgusted
clara,"And right after that, Saeko came back, and she took the person who ate the cherry and--and she--"

show,clara,feared
clara,I just can't... How could she e-eat somebody...

flash
show,clara,angry
clara,"Even in my wildest dreams, I'd never think something like this could happen! And even if it did, I thought you'd try to stop it!"

clara,"But you just stood there, watching without a word..."

health,clara,-5
clara,"What's happened to you, Rin?! Come on--say something!"

show,akari,disgusted
flash
akari,...Shut up.

clara,What?

akari,...Shut up. Why are you so loud? It's morning.

akari,I don't care about your hysterics.

show,akari,normal
akari,Just turn the volume down. Got it?

show,clara,confused
clara,...

show,clara,disgusted
clara,What are you--

show,chio,serious
chio,"I've got a thing to say too. Clara, stop making trouble for Rin."

show,clara,disgusted
clara,Wha--! Trouble?

show,chio,serious
chio,Yup. Getting angry and then shouting at Rin because of principles from the outside world... Have you even thought about how Rin feels?

show,clara,angry
clara,I know Rin's feelings much better than you do! How long do you think I've known him?!

clara,Everyone here is the worst! Awful! You're all crazy!

show,clara,disgusted
clara,"Rin, you won't tell me the same thing as the rest of them, will you? You wouldn't do that..."

clara,Telling me to shut up or that I'm being hysterical--even after something...so awful...happened right before my eyes...

show,clara,feared
clara,How can you all be okay with this...?

rin,...

show
m,I feel multiple gazes on me. I ponder over what I should say.

show,clara,feared
rin,"First of all, Clara, let me say sorry for not telling you something so important. I should have let you know about the situation yesterday."

rin,"I know it was shocking, and I'm sure you can't trust me now, but it's my fault for not telling you about Saeko or this drawer."

rin,"I'm sure there's more you want to talk about, but everyone's watching here. Let's talk in private later."

rin,Where nobody else can hear us... Okay?

show,clara,confused
clara,...

show,clara,determined
clara,...Okay. But we have to talk.

show
m,"With those words, Clara turns on her heels and walks away..."

m,...leaving just Chio and Akari in my sight.

show,akari,disgusted
