skit,1
play,night,coffee
cake,desk-down
action,study
wait,normal,2

cake,desk-up
wait,normal,1

skit,3
action
allow,yes,yes
s,normal,...Hey.

skit,3a
q,yes|etto,etto|nop
s,normal,What do you think time is?

label,3a,etto
allow,yes|sorry,sorry
action,nearhand
s,bored,Teehee. Don't hurt yourself coming up with an answer.
jump,4

label,3a,nop
allow,yes|sorry,sorry
action,nearhand
s,bored,...Hehe. It was an odd question. No wonder you don't have a reply.
jump,4

skit,4
action,study|nearhand
cake,desk-down
wait,,3

action,study
allow,yes|sou,yes|sou
s,,I just think about it sometimes when I study recently.

allow,yes|sou|naruhodo,yes|sou|naruhodo
s,,"The geometry of space-time, the second law of thermodynamics..."

skit,5
action,nearhand
q,yes|wakaranai|no,yes|wakaranai
s,normal,But the past is the past. Memory is memory. Don't you agree?

label,5,yes
jump,next

label,5,wakaranai
action,nearhand
allow,yes,yes
s,normal,...Heehee. Of course.

action,tonton
allow,yes|naruhodo,yes
s,bored,"Sorry, this must be a little complicated for you..."

jump,next

skit,6
cake,desk-down
action,idle
wait,,2

s,,Hey.

skit,7
action,idle
q,aru|nai,aru|nai
s,normal,Do you have memories you want to forget too?

label,7,aru
cake,desk-up
wait,serious,2

allow,yes|sorry,sorry
s,serious,...Hm. That's odd.

allow,yes|sorry,yes|sorry
s,serious,Since you've lost all your memories.

allow,yes|no|sorry,no|sorry
s,angry,Or were you lying? Are you actually hiding something from me?

wait,angry,2

cake,desk-down
action,patapata
wait,,3
allow,yes,yes
s,bored,...Just kidding.

allow,yes,yes
s,bored,Nobody's memories are all good.

action,study
wait,,2

jump,next

label,7,nai
cake,desk-up
wait,serious,2

allow,yes,yes
s,serious,Hmm...

allow,yes|no,yes
s,normal,I guess there was no point in asking you that.

allow,yes|no|naruhodo,yes|naruhodo
s,bored,"Since you have amnesia, you don't have memories you could want to forget."

s,bored,"For some reason, I'm a bit envious..."

cake,desk-down
action,study
wait,,3

jump,next

skit,8
action,idle
allow,yes,yes
s,,"Sometimes, a thought comes to me."

allow,yes,yes
s,,You know how you delete messages on your phone with a button...

action,study|patapata
allow,yes,yes
s,,I wish I could get rid of my own memories as easily as that.

skit,9

action
q,donna|yes|no,donna|yes|no
s,bored,Maybe I could be reborn as something else then.

label,9,yes
label,9,no
wait,normal,1
action,tonton
s,,...Hmm. You sound confident.

s,,I'll keep that in mind. Since you've experienced amnesia yourself and all.

jump,10

label,9,donna
cake,desk-up
wait,angry,3

skit,9a
q,wasuretai|nothing,wasuretai|nothing
s,angry,...What?

label,9a,nothing
jump,10

label,9a,wasuretai
skit,9b
q,dakara_donna|nothing,dakara_donna|nothing|nop
s,serious,...

label,9b,dakara_donna
s,angry,...Quiet. Stop asking me that.
dead

label,9b,nothing
allow,yes,yes
s,serious,...Yes.
jump,9c

label,9b,nop
jump,9c

skit,9c
wait,serious,1

allow,yes,yes
s,serious,"It's an old memory. Back then, adults all seemed so captivating to me..."

allow,yes|naruhodo,yes|naruhodo
s,normal,It's a bittersweet memory of love... Heh. But that person's no longer here.

allow,silent,silent
s,bored,"With a yummy-looking figure like that, what else could've happened?"

cake,desk-down
action,idle
wait,,2

action,nearhand
allow,yes,yes
s,normal,"Teehee. No, I think I'll keep this memory."

allow,yes,yes
action,tonton
s,normal,"If I lose it, that person will really be gone..."

object,add,camera
jump,10

skit,10
cake,desk-down
action,idle
wait,normal,3
allow,yes,yes
s,,...*yawn*

s,,I'm a little sleepy now.

allow,yes|thanks,yes|thanks
cake,desk-up
s,normal,"Let's call it a day. Rin, you should get some sleep too."

goto,midnight,2
